bench,network_id,mean,p50,stddev,p95,p95_excl_timeouts,p95_approx,n,timeouts,timeout_rate,outliers_mild,outliers_severe
p2p_backpressure_inv_to_req_payload,,1268173690.6666667,1300146713.5,68026509.02280337,,,1380077298.0091782,,,,,
p2p_batch_headers_inv_rr,,801771.1048412698,778272.6777777778,152706.79772199653,1480253,1480253,,62,,0,4,1
p2p_dedupe_ttl_payload_inv,,1201370066.6,1201210961.5,699715.9954100744,1202596991,1202596991,,11,,0,0,0
p2p_header_announce_gossip,,21785025.164126985,21614935.708333336,487826.2448349963,22643358,22643358,,62,,0,1,1
p2p_header_announce_gossip_hb_1s,,31717275.08246032,31768825.742857143,249248.4648953034,32460624,32460624,,62,,0,3,0
p2p_header_announce_gossip_relaxed,,21514528.80404762,21701733.67857143,454626.67772635753,22379000,22379000,,62,,0,1,0
p2p_inv_to_req_headers_missing,,34389.77697271135,34454.44512476737,1870.427255800412,,,37466.62980850303,,,,,
p2p_inv_to_req_payload_missing,,31291.31079241082,30545.59936842376,1758.2946209373376,,,34183.70544385274,,,,,
p2p_libp2p_e2e_inv_to_resp_headers,,272032.09310994914,271718.50941780827,4679.07549783304,415936,415936,,72431,,0,3781,1931
p2p_libp2p_e2e_inv_to_resp_headers_gossip,,650929.434186508,588599.4,108519.43313030552,960618,960618,,117,,0,6,2
p2p_libp2p_e2e_inv_to_resp_payloads,,384000.1325992063,362608.8428571429,63181.50380626596,515907,515907,,117,,0,6,0
p2p_libp2p_e2e_inv_to_resp_payloads_gossip,,631963.3573412698,561667.4047619047,133192.38770478035,954119,954119,,117,,0,3,3
p2p_libp2p_rpc_get_headers,,417460.09585317463,416584.34375,65155.56393373423,664294,664294,,117,,0,3,1
p2p_libp2p_rpc_get_payloads,,439109.8148809524,421235.9375,58481.773751736,750000,750000,,117,,0,5,1
p2p_quic_rpc_warm_get_headers,,298961.79815476196,284746.725,62703.321698128,497128,497128,,117,,0,0,0
p2p_quic_rpc_warm_get_payloads,,319948.61684523814,302783,90318.86810005557,562425,562425,,117,,0,5,1
p2p_ratelimit_inv_to_req_1rps,,853152170.175,853063317,2459977.9146196004,,,857198833.8445492,,,,,
p2p_rpc_cold_start_get_headers,,1844057.195371074,1834604.3111702127,48384.435599711695,2279771,2279771,,6193,,0,184,57
p2p_rpc_notfound_headers,,537410.3579365078,499688.4583333334,198988.69548946532,788673,788673,,62,,0,1,2
p2p_rpc_parallel_get_payloads_8,,910150.0776190476,864712.3666666667,198992.9856111371,1235694,1235694,,62,,0,2,0
p2p_rpc_payload_size_sweep,,2358581.558690476,2487436.5267857146,558507.8601469306,7357370,7357370,,125,,0,15,13
p2p_rpc_retry_get_headers,,2553656653.4,2553407464,762062.1436205843,,,2554910245.626256,,11,,,
p2p_rpc_warm_start_get_headers,,455952.1317063492,410584.375,123772.2585576497,648386,648386,,125,,0,5,1
p2p_two_hop_headers_gossip,,801203253,801145860.5,314057.0996770421,,,801719876.9289688,,11,,,
